pair_type,pair_contract,pair_total_supply,token0_name,token0_symbol,token0_contract,token0_reserves,token0_total_supply,token0_decimals,token1_name,token1_symbol,token1_contract,token1_reserves,token1_decimals,token1_total_supply
Spirit LPs,0x74772FBe8ea1b9aD1D750D6334Cdb8C3e227D6ED,921509915381739650076,SpiritSwap Token,SPIRIT,0x5Cc61A78F164885776AA610fb0FE1257df78E59B,4358170331710788043314,602649485442480619922630569,18,Fantom USD,FUSD,0xAd84341756Bf337f5a0164515b1f6F993D194E1f,342789124791698493586,18,27198521335499212929298001
Spirit LPs,0x30748322B6E34545DBe0788C421886AEB5297789,16937395432895265243132768,Wrapped Fantom,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,4965181422800364121184970,653424025334732950961859861,18,SpiritSwap Token,SPIRIT,0x5Cc61A78F164885776AA610fb0FE1257df78E59B,85876465344811581031486430,18,602649485442480619922630569
Spirit LPs,0x279b2c897737a50405ED2091694F225D83F2D3bA,93731450212233738,Wrapped Fantom,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,2029898053386363575481809,653424025334732950961859861,18,Bitcoin,BTC,0x321162Cd933E2Be498Cd2267a90534A804051b11,5667893479,8,1057131957072
Spirit LPs,0x613BF4E46b4817015c01c6Bb31C7ae9edAadc26e,61677205166721013583762,Wrapped Fantom,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,3806974881903636608604573,653424025334732950961859861,18,Ethereum,ETH,0x74b23882a30290451A17c44f4F05243b6b58C76d,1430063950050629683765,18,161068125736242978379149
Spirit LPs,0xe7E90f5a767406efF87Fdad7EB07ef407922EC1D,6749735809583361584,USD Coin,USDC,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,11521386583241,1017848432414512,6,Wrapped Fantom,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,10214779447736270837197624,18,653424025334732950961859861
