pair_type,pair_contract,pair_total_supply,token0_name,token0_symbol,token0_contract,token0_reserves,token0_total_supply,token0_decimals,token1_name,token1_symbol,token1_contract,token1_reserves,token1_decimals,token1_total_supply
Spooky LP,0xFdb9Ab8B9513Ad9E419Cf19530feE49d412C3Ee3,1887388709891122,Wrapped Fantom,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,7628259344290369260899590,653424025334732950961859861,18,Bitcoin,BTC,0x321162Cd933E2Be498Cd2267a90534A804051b11,21303321985,8,1057131957072
Spooky LP,0xf0702249F4D3A25cD3DED7859a165693685Ab577,279948853359916746732966,Wrapped Fantom,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,16751590399525668550802390,653424025334732950961859861,18,Ethereum,ETH,0x74b23882a30290451A17c44f4F05243b6b58C76d,6299001550625913079106,18,161068125736242978379149
Spooky LP,0x2b4C76d0dc16BE1C31D4C1DC53bF9B45987Fc75c,32206073416140411788,USD Coin,USDC,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,55892364256015,1017848432414512,6,Wrapped Fantom,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,49580054984372849424037556,18,653424025334732950961859861
Spooky LP,0x5965E53aa80a0bcF1CD6dbDd72e6A9b2AA047410,8572817114279357724,Frapped USDT,fUSDT,0x049d68029688eAbF473097a2fC38ef61633A3C7A,12693354016025,171504717360361,6,Wrapped Fantom,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,11256446983426912031459704,18,653414602824984168824129161
Spooky LP,0xe120ffBDA0d14f3Bb6d6053E90E63c572A66a428,6327138363656720525987523,Wrapped Fantom,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,8246432074265572852307656,653414493016290131168923973,18,Dai Stablecoin,DAI,0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E,9303837126601442106036674,18,300860540147347834740822905
